TitleId,Reviews
1,"muito bom, vc pode construir, usar sua imaginação, mods, sobreviver, jogar multiplayer e até zerar o jogo! minecraft é um jogo incrível e fica melhor a cada atualização, (nunca zerei mesmo depois de muitos anos)"
1,"Jogo incrível, muito divertido, e com amigos fica ainda mais legal."
1,baby gammeeee \n                     \n                     had the most fun playing when it was first released sory\n                     \n                     still fun for a couple of hours when playing with people tho! 
1,Minecraft is what you make of it. Unfortunately theres no reason to do anything. 
2,"Bom jogo, importante pra caramba e tudo mais, mas, sinceramente, tantas horas de gameplay me divertiram muito, mas me recepcionaram na história. Não que eu eu esperasse algo muito elaborado, mas senti que não foi conclusiva ou evoluísse os personagens. É divertido, muito mesmo, e a liberdade é ótima. Passei muito tempo jogando tênis, dirigindo pelas colinas, fazendo coisas aleatórias, e a experiência é ótima. Em pleno começo de 2023, talvez não seja lá grande coisa jogar um jogo assim no sentido de muita coisa legal pra fazer, mas na época era uma baita inovação e merece respeito pelo que até hoje impressiona. "
2,I really wanted to love this game more. The playing world is stunning with colorful and great recreations of actual locations and landmarks. Having to juggle between 3 characters is a brilliant idea. But I found the story to be a bit lackluster and overall I did not feel as involved with the protagonists as much as I was with the previous game.
2,People be rating this a 3.... BITCH BE SERIOUS!
2,i cannot picture a world where someone gives this less than a 10
2,"incredible spectacle and movie esque cutscenes backed up by memorable characters. inarguably one of the most recognizable games of the decade, however is held back by lackluster gameplay."
3,this game is so addicting for the most random reason
3,"Bem simples mas exige bastante estratégia e sorte, mesmo não curtindo muito seu gênero consigo me divertir um pouquinho, vale a pena jogar pelo valor histórico."
3,"Hard tetris game to go wrong with, albeit not as iconic as the game boy version. The A-type is your classic endless game of tetris, and the B-type involves clearing a certain amount of garbage blocks. Plays by 'asshole tetris' rules, where blocks are pure random so you can get completely screwed by RNG. My major gripe with this game is the controls. Moving blocks left to right is very slow and it feels like the blocks rotate in a way where I keep accidentally misplacing them. No hard drops either. I respect the people that play this competitively for learning how to master the controls, because I sure as hell had a hard time. Getting the ending of the game by clearing a level 9 speed 5 height B game is a total crap shoot due to the RNG of what blocks you get and the arrangement of the garbage blocks, so just stick to the A-game. Not my favorite version of tetris but still does the job."
3,"A great colorful port of the arcade classic, featuring two game modes."
3,Fucking love Tetris. Timeless game.
3,HOOOOOLY FUUUUUCK
4,"One of the best party games, and a solid single player game"
4,if you have touched a controller you probably already know what this is and have already played it. I personally never got the hype and preferred wii play back in the day but maybe that's just me being a PLAYER and not a gross SPORTSER. the OST do be raw tho
4,best game ever i really love it slay
4,"I used to work in a nursing home that had a wii bowling league, and a team of 5 ladies who we actually recorded and submitted to a national tournament.\n                     \n                     So shout out to Dot and her perfect game,  and to the wonderful team in 2013, you all did great!"
4,the only sports I care about
4,"the perfect arcade game. Another type of game theyll never make again."
